NUTS_id;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;region_id
CZ041;47.073;44.19;49.106;45.039;50.356;53.047;51.107;52.943;56.834;57.606;54.237;66.259;62.404;59.267;70.332;58.984;67.604;66.288;57.397;61.583;61.261;67.398;69.175;9
CZ063;49.31;43.79;52.56;44.08;50.3;53.28;50.21;54.68;56.58;57.15;54.95;67.4;63.98;58.51;72.11;59.06;68.4;69.26;56.31;61.56;61.19;66.98;69.47;10
CZ052;49.65;47.05;49.3;45.16;50.52;53.25;51.44;53.95;57.55;57.89;54.31;67.65;64.29;60.06;70.82;59.67;68.08;67.97;57.2;61.88;61.8;67.51;69.98;4
CZ051;47.06;41.87;43.38;45.86;51.71;51.58;49.88;54.22;56.57;56.32;52.19;66.69;62.82;57.52;71.42;58.45;67.89;68.54;58.02;62.54;61.71;66.71;70.31;3
CZ080;54.22;42.12;48.74;45.11;49.7;52.74;50.59;53.41;57.32;56.18;51.7;66.13;63.46;58.65;71.38;58.89;68.44;67.22;58.76;62.74;61.36;67.27;70.65;7
CZ071;51.63;51.03;50.34;46.35;51.44;54.02;52.25;54.93;58.59;59.03;54.75;68.51;65.29;61.77;71.33;60.34;68.78;67.44;58.28;62.69;62.29;68.5;70.45;8
CZ053;46.88;42.83;49.88;45.31;50.34;52.9;51.04;54.01;57.84;58.5;53.66;67.58;64.14;59.73;72.5;59.68;68.57;67.82;59.14;63.18;62.54;68.04;71.46;6
CZ032;47.073;44.19;49.106;45.039;50.356;53.047;51.107;52.943;56.834;57.606;54.237;66.259;62.404;59.267;70.332;58.984;67.604;66.288;57.397;61.583;61.261;67.398;69.175;12
CZ020;39.78;43.95;49.42;45.42;50.37;53.45;51.62;53.97;57.88;58.07;54.75;67.83;64.66;60.54;70.93;59.86;68.24;67.61;57.26;61.88;61.68;67.82;69.87;1
CZ072;50.59;41.09;49.67;45.34;50.46;53.48;51.75;50.35;55.93;57.97;55.01;64.05;60.25;59.67;71.36;58.62;67.1;63.87;57.54;60.94;60.82;67.81;68.22;13
CZ042;38.66;44.15;49.17;44.84;50.02;53.02;51.21;53.22;56.94;57.2;55.08;67.42;63.99;59.35;70.4;59.58;67.9;67.77;56.96;61.82;61.41;67.73;69.79;2
CZ064;42.95;44.02;48.6;42.92;48.7;52.75;51.08;46.69;53.14;57.75;55.97;59.33;51.16;56.87;61.07;55.69;62.64;55.38;54.5;56.6;57.81;65.61;61.55;11
CZ031;47.073;44.19;49.106;45.039;50.356;53.047;51.107;52.943;56.834;57.606;54.237;66.259;62.404;59.267;70.332;58.984;67.604;66.288;57.397;61.583;61.261;67.398;69.175;5
CZ010;47.073;44.19;49.106;45.039;50.356;53.047;51.107;52.943;56.834;57.606;54.237;66.259;62.404;59.267;70.332;58.984;67.604;66.288;57.397;61.583;61.261;67.398;69.175;14
